	Scottie Barnes	Tor	F	21.37	24	33.3	69.4	20.4	15	49	0.694	219	0.493	87	0.322	0.49	0.51	13.9	7	11.9	4.6	20.7	0.88	0.79	2.42	9.2	104.8	110.6
	RJ Barrett	Nyk	F-G	22.5	27	34	70.9	25.3	11.3	150	0.78	283	0.47	146	0.288	0.457	0.514	18.9	5.6	8.6	3	13.3	0.63	0.15	2.33	8	103.8	109.3
	Will Barton	Was	G	31.93	26	22.4	46.6	18	10.8	26	0.885	108	0.398	95	0.337	0.448	0.478	7.9	3.2	7.9	2.7	16.4	0.58	0.31	1	7.3	99.9	112
	Charles Bassey	San	C-F	22.12	17	16	33.4	14	22.9	22	0.636	55	0.745	6	0.333	0.721	0.722	6	6.1	21.2	1.5	13.3	0.41	1.18	1.24	9.5	127	102.5
	Keita Bates-Diop	San	F	26.89	22	18.1	37.7	16.9	10.5	30	0.833	102	0.569	30	0.367	0.564	0.599	7.9	3	9.1	0.7	5.7	0.59	0.18	0.77	5.6	117.1	118.9
	Nicolas Batum	Lac	G-F	34	29	20.5	42.8	11.5	12.8	22	0.591	29	0.552	98	0.398	0.587	0.593	5.6	4.2	11.2	1.4	9.3	0.59	0.76	0.69	6.3	118.1	101.8
	Darius Bazley	Okc	F-G	22.5	20	16.2	33.8	16	9.6	28	0.5	70	0.457	31	0.355	0.48	0.49	5.6	3.9	12.4	1	8.2	0.55	1.2	0.6	6.9	104.1	108
	Bradley Beal	Was	G	29.46	18	35	73	26.6	13.3	79	0.873	211	0.592	88	0.352	0.574	0.617	22.9	3.7	5.8	5.4	25.5	1.17	0.61	2.83	8.8	116.9	112.9
	Malik Beasley	Uta	G	26.04	29	27.3	56.9	20.6	8	23	0.826	105	0.495	241	0.39	0.558	0.569	14	3.9	7.8	1.6	8.2	1	0.14	1.07	6.5	111.8	113.8
	MarJon Beauchamp	Mil	F	22.17	15	15.5	32.3	18.2	17.9	10	0.7	37	0.486	41	0.293	0.462	0.479	5.3	2.9	9.9	0.4	3.6	0.47	0.13	1.2	4.7	88.8	99.5
	Davis Bertans	Dal	F	30.08	10	7.6	15.8	20	8.9	6	0.833	5	0.2	23	0.391	0.518	0.555	3.4	0.8	6.3	0.4	7.8	0.1	0	0.3	5.4	109.7	100
	Patrick Beverley	Lal	G	34.42	20	26.9	56	9.5	13.9	25	0.76	30	0.433	64	0.234	0.378	0.429	4.5	3.8	7.5	2.6	11.6	0.95	0.5	0.85	5.3	98	104.3
	Saddiq Bey	Det	F	23.68	25	29.7	61.8	21	7.9	107	0.879	154	0.494	137	0.299	0.473	0.546	14.8	4.4	8.1	1.8	9.1	0.92	0.16	1.16	6.6	112.6	114.2
	Khem Birch	Tor	C	30.21	15	7.7	16.1	11.8	15.5	5	0.8	23	0.652	2	0.5	0.66	0.68	2.5	1.1	7.8	0.3	6.2	0.27	0.2	0.33	4.9	124.9	98.8
	Goga Bitadze	Ind	C-F	23.4	16	9.9	20.6	15.7	16.7	18	0.5	30	0.667	12	0.25	0.583	0.581	3.6	2.3	12.7	1	14.4	0.38	0.56	0.63	8.2	116	98.9
	Bismack Biyombo	Pho	C	30.29	21	11.8	24.6	14.5	25.9	20	0.4	54	0.519	0	0	0.519	0.51	3	3.3	15.6	0.8	8.2	0.29	1.38	1.05	6.8	92.1	98
	Buddy Boeheim	Det	F	23.09	1	1	2.1	0		0	0	0	0	0	0			0	0	0	0	0	0	0	0	0		
	Bojan Bogdanovic	Det	F	33.66	28	30.9	64.4	25.1	12.9	137	0.891	219	0.562	167	0.437	0.602	0.658	21	3.6	6.5	2.4	13	0.57	0.04	2.36	7.3	120.1	116.1
	Bogdan Bogdanovic	Atl	G	30.32	5	27.8	57.9	27.1	11.1	5	1	29	0.483	49	0.388	0.545	0.561	18	3.2	6.2	2.2	12.2	0.6	0.2	2	7.2	103.8	114.1
	Bol Bol	Orl	C-F	23.07	28	26.9	55.9	18.6	18.8	51	0.784	187	0.663	50	0.4	0.65	0.671	12.4	7.4	15.9	1.1	6.9	0.5	1.82	2.14	6.9	113.5	110.4
	Leandro Bolmaro	Uta	F	22.25	5	8.1	16.8	11.5	27.3	0	0	6	0.333	2	0	0.25	0.25	0.8	0.4	2.7	1.2	17.9	0.4	0.2	0.6	3.6	71.8	110.5
	Devin Booker	Pho	G	26.12	26	35.4	73.7	30.9	9.8	164	0.866	374	0.521	160	0.375	0.534	0.587	27.4	4.8	7.6	5.8	26.7	0.96	0.42	2.54	10.3	119.8	108.7
	Brandon Boston	Lac	G	21.04	10	9.1	18.9	26	7.4	9	0.778	32	0.313	14	0.571	0.478	0.51	5.1	1.1	6.6	0.6	10.7	0.2	0	0.4	6.6	103.3	109.6
	Chris Boucher	Tor	F-C	29.92	23	23.2	48.3	19.9	6	81	0.741	131	0.542	69	0.29	0.505	0.556	11.4	6.1	14.9	0.6	3.7	0.74	0.87	0.65	6	120.1	103.8
	James Bouknight	Cha	G	22.23	21	15.8	33	18	12.6	22	0.682	55	0.436	60	0.25	0.404	0.433	5.1	2.2	7.4	1.2	10.8	0.52	0.19	0.86	6	88.8	109
	Tony Bradley	Chi	C-F	24.93	7	2.7	5.5	15.8	14.5	2	1	2	0.5	3	0.667	0.8	0.85	1.4	1	21.1	0.1	7.6	0.14	0	0.14	7.7		
	Malaki Branham	San	F	19.59	13	17.5	36.4	16.3	12.3	10	0.8	34	0.441	40	0.225	0.385	0.415	5	1.7	5.4	1.7	12.6	0.15	0.15	0.85	5.6	89.1	117.1
	Christian Braun	Den	G	21.66	24	13.7	28.5	10.9	9.7	14	0.571	46	0.478	22	0.364	0.5	0.512	3.2	2.1	9	0.6	5.7	0.33	0.17	0.33	4.6	110.9	111.5
	Mikal Bridges	Pho	F	26.29	27	36.4	75.9	16.6	7.8	56	0.893	215	0.526	117	0.427	0.566	0.597	15.8	5.1	7.9	3.2	12	1.19	0.85	1.11	7	124.2	110.6
	Oshae Brissett	Ind	F-G	24.48	23	16	33.4	14.4	8.5	47	0.723	36	0.472	61	0.377	0.531	0.582	6	3.2	10.8	0.5	4	0.65	0.17	0.48	5.3	117.5	108.2
	Malcolm Brogdon	Bos	G	30	23	23.4	48.8	24.5	14.7	62	0.871	137	0.518	91	0.484	0.601	0.642	14.3	4.1	9.9	3.9	25.1	0.48	0.22	1.91	10.5	121.9	108.9
	Dillon Brooks	Mem	G-F	26.89	24	31.2	65	25.7	9.6	66	0.758	232	0.44	162	0.352	0.476	0.502	17.7	3.7	6.3	3	13.9	0.88	0.13	1.88	7.5	103.6	105.3
	Greg Brown III	Por	F	21.28	7	7.2	14.9	18.7	13.9	8	0.25	10	0.6	5	0.2	0.5	0.459	2.4	1	7.9	0	0	0.43	0.57	0.43	0	79.8	99.9
